section,Kelompok Umur,Warna Label,Kuota Squad,Tanggal Lahir,Participant ID,Divisi,Tim,Tanggal Block
agegroups,U8 - under 8 y/o,blue,17,2017-01-01,,,,
agegroups,U10 - under 10 y/o,blue,17,2015-01-01,,,,
agegroups,U12 - under 12 y/o,blue,18,2013-01-01,,,,
agegroups,U14 - under 14 y/o,blue,22,2011-01-01,,,,
agegroups,U16 - under 16 y/o,blue,22,2009-01-01,,,,
agegroups,U19 - under 19 y/o,blue,22,2006-01-01,,,,
agegroups,U12-14G,pink,23,2006-01-01,,,,
agegroups,U16-19G,pink,23,2006-01-01,,,,
participants,2,,,,65,Grading,373,
participants,2,,,,65,Grading,373,
participants,2,,,,65,Grading,373,
participants,2,,,,65,Grading,373,
participants,2,,,,65,Grading,373,
participants,2,,,,65,Grading,373,
participants,2,,,,5,Grading,259,
participants,2,,,,5,Grading,259,
participants,2,,,,5,Grading,259,
participants,2,,,,5,Grading,259,
participants,2,,,,5,Grading,259,
participants,2,,,,5,Grading,259,
participants,3,,,,5,Grading,260,
participants,3,,,,5,Grading,260,
participants,3,,,,5,Grading,260,
participants,3,,,,5,Grading,260,
participants,3,,,,5,Grading,260,
participants,3,,,,5,Grading,260,
participants,4,,,,5,Grading,261,
participants,4,,,,5,Grading,261,
participants,4,,,,5,Grading,261,
participants,4,,,,5,Grading,261,
participants,4,,,,5,Grading,261,
participants,4,,,,5,Grading,261,
participants,1,,,,10,Grading,304,
participants,1,,,,10,Grading,304,
participants,1,,,,10,Grading,304,
participants,1,,,,10,Grading,304,
participants,1,,,,10,Grading,304,
participants,1,,,,10,Grading,304,
participants,3,,,,61,Grading,366,
participants,3,,,,61,Grading,366,
participants,3,,,,61,Grading,366,
participants,3,,,,61,Grading,366,
participants,3,,,,61,Grading,366,
participants,4,,,,61,Grading,367,
participants,4,,,,61,Grading,367,
participants,4,,,,61,Grading,367,
participants,4,,,,61,Grading,367,
participants,4,,,,61,Grading,367,
participants,8,,,,68,Grading,378,
participants,8,,,,68,Grading,378,
participants,8,,,,68,Grading,378,
participants,8,,,,68,Grading,378,
participants,8,,,,68,Grading,378,
participants,8,,,,68,Grading,378,
participants,4,,,,10,Grading,305,
participants,4,,,,10,Grading,305,
participants,4,,,,10,Grading,305,
participants,4,,,,10,Grading,305,
participants,4,,,,10,Grading,305,
participants,4,,,,10,Grading,305,
participants,5,,,,10,Grading,306,
participants,5,,,,10,Grading,306,
participants,5,,,,10,Grading,306,
participants,5,,,,10,Grading,306,
participants,5,,,,10,Grading,306,
participants,5,,,,10,Grading,306,
participants,1,,,,22,Grading,262,
participants,1,,,,22,Grading,262,
participants,1,,,,22,Grading,262,
participants,1,,,,22,Grading,262,
participants,1,,,,22,Grading,262,
participants,2,,,,22,Grading,263,
participants,2,,,,22,Grading,263,
participants,2,,,,22,Grading,263,
participants,2,,,,22,Grading,263,
participants,2,,,,22,Grading,263,
participants,2,,,,22,Grading,263,
participants,3,,,,22,Grading,264,
participants,3,,,,22,Grading,264,
participants,3,,,,22,Grading,264,
participants,3,,,,22,Grading,264,
participants,3,,,,22,Grading,264,
participants,3,,,,22,Grading,264,
participants,4,,,,22,Grading,265,
participants,4,,,,22,Grading,265,
participants,4,,,,22,Grading,265,
participants,4,,,,22,Grading,265,
participants,4,,,,22,Grading,265,
participants,4,,,,22,Grading,265,
participants,5,,,,22,Grading,266,
participants,5,,,,22,Grading,266,
participants,5,,,,22,Grading,266,
participants,5,,,,22,Grading,266,
participants,5,,,,22,Grading,266,
participants,5,,,,22,Grading,266,
participants,6,,,,22,Grading,267,
participants,6,,,,22,Grading,267,
participants,6,,,,22,Grading,267,
