id,participant_id,agegroup_id,divisi_id,team_id,block_date
34,5,4,Grading,261,2025-09-20
35,5,4,Grading,261,2025-10-04
36,5,4,Grading,261,2025-10-18
37,5,4,Grading,261,2025-11-01
38,5,4,Grading,261,2025-11-15
39,5,4,Grading,261,2025-11-29
66,61,4,Grading,367,2025-09-27
67,61,4,Grading,367,2025-11-29
68,61,4,Grading,367,2025-12-13
69,61,4,Grading,367,2026-05-16
70,61,4,Grading,367,2026-05-23
133,10,4,Grading,305,2025-09-20
134,10,4,Grading,305,2025-09-27
135,10,4,Grading,305,2025-11-01
136,10,4,Grading,305,2025-11-08
137,10,4,Grading,305,2026-04-25
138,10,4,Grading,305,2026-05-09
168,22,4,Grading,265,2025-09-20
169,22,4,Grading,265,2025-11-08
170,22,4,Grading,265,2025-11-15
171,22,4,Grading,265,2025-11-22
172,22,4,Grading,265,2025-12-06
173,22,4,Grading,265,2025-12-13
210,29,4,Grading,315,2025-09-27
211,29,4,Grading,315,2025-10-04
212,29,4,Grading,315,2025-10-11
213,29,4,Grading,315,2025-11-08
214,29,4,Grading,315,2025-11-29
215,29,4,Grading,315,2025-12-13
278,30,4,Grading,241,2025-09-20
279,30,4,Grading,241,2025-09-27
280,30,4,Grading,241,2025-11-22
281,30,4,Grading,241,2025-11-29
282,30,4,Grading,241,2025-12-13
283,30,4,Grading,241,2026-05-23
306,13,4,Grading,311,2025-12-06
307,13,4,Grading,311,2026-05-23
371,8,4,Grading,248,2025-09-20
372,8,4,Grading,248,2025-09-27
373,8,4,Grading,248,2025-11-22
374,8,4,Grading,248,2025-12-13
375,8,4,Grading,248,2026-05-02
376,8,4,Grading,248,2026-05-23
472,59,4,Grading,361,2025-09-27
473,59,4,Grading,361,2025-10-04
474,59,4,Grading,361,2026-04-11
475,59,4,Grading,361,2026-05-02
526,27,4,Grading,322,2025-10-25
527,27,4,Grading,322,2025-11-15
528,27,4,Grading,322,2025-12-06
529,27,4,Grading,322,2025-12-13
530,27,4,Grading,322,2026-05-09
531,27,4,Grading,322,2026-05-16
548,60,4,Grading,365,2025-09-20
549,60,4,Grading,365,2025-09-27
550,60,4,Grading,365,2025-11-29
551,60,4,Grading,365,2025-12-06
552,60,4,Grading,365,2025-12-13
553,60,4,Grading,365,2026-05-09
673,63,4,Grading,369,2025-09-27
674,63,4,Grading,369,2025-10-11
675,63,4,Grading,369,2025-11-29
688,18,4,Grading,257,2025-09-20
689,18,4,Grading,257,2025-09-27
690,18,4,Grading,257,2025-10-18
691,18,4,Grading,257,2025-11-22
692,18,4,Grading,257,2025-12-13
693,18,4,Grading,257,2026-04-11
785,14,4,Grading,325,2025-11-29
786,14,4,Grading,325,2025-12-13
787,14,4,Grading,325,2026-04-25
788,14,4,Grading,325,2026-05-23
845,31,4,A,337,2025-09-20
846,31,4,A,337,2025-10-04
847,31,4,A,337,2025-10-18
848,31,4,A,337,2025-11-01
849,31,4,A,337,2025-12-06
850,31,4,A,337,2026-04-11
875,9,4,C,228,2025-11-29
876,9,4,C,228,2025-12-13
27,13,4,B,311,
28,20,4,B,321,
47,61,4,C,367,
48,59,4,C,361,
103,31,4,A,337,
104,11,4,A,298,
105,5,4,B,261,
106,13,4,B,311,
107,20,4,B,321,
108,27,4,B,322,
161,8,4,C,248,
162,10,4,C,305,
221,30,4,A,241,
222,11,4,A,298,
223,31,4,A,337,
224,14,4,A,325,
225,13,4,B,311,
226,27,4,B,322,
227,5,4,B,261,
228,22,4,B,265,
229,9,4,C,228,
230,8,4,C,248,
231,60,4,C,365,
232,61,4,C,367,
233,59,4,C,361,
234,10,4,C,305,
315,11,4,A,298,
316,18,4,A,257,
317,14,4,A,325,
318,63,4,A,369,
319,22,4,B,265,
320,27,4,B,322,
321,61,4,C,367,
322,10,4,C,305,
323,60,4,C,365,
324,59,4,C,361,
393,18,4,A,257,
394,30,4,A,241,
395,31,4,A,337,
396,63,4,A,369,
397,22,4,B,265,
398,20,4,B,321,
399,8,4,C,248,
400,59,4,C,361,
401,60,4,C,365,
402,10,4,C,305,
469,63,4,A,369,
470,18,4,A,257,
471,60,4,C,365,
472,8,4,C,248,
473,61,4,C,367,
474,9,4,C,228,
485,30,4,A,241,
486,63,4,A,369,
537,11,4,A,298,
538,14,4,A,325,
539,31,4,A,337,
540,30,4,A,241,
599,14,4,A,325,
600,18,4,A,257,
601,27,4,B,322,
602,5,4,B,261,
603,60,4,C,365,
604,9,4,C,228,
669,18,4,A,257,
670,31,4,A,337,
671,22,4,B,265,
672,13,4,B,311,
673,9,4,C,228,
674,10,4,C,305,
228,9,4,C,,
241,30,4,A,,
248,8,4,C,,
257,18,4,A,,
261,5,4,B,,
265,22,4,B,,
283,35,4,A,,
298,11,4,A,,
305,10,4,C,,
311,13,4,B,,
321,20,4,B,,
322,27,4,B,,
325,14,4,A,,
337,31,4,A,,
361,59,4,C,,
365,60,4,C,,
367,61,4,C,,
369,63,4,A,,
