id,participant_id,agegroup_id,divisi_id,team_id,block_date
139,10,5,Grading,306,2025-09-20
140,10,5,Grading,306,2025-09-27
141,10,5,Grading,306,2025-11-01
142,10,5,Grading,306,2025-11-08
143,10,5,Grading,306,2026-04-25
144,10,5,Grading,306,2026-05-09
174,22,5,Grading,266,2025-09-20
175,22,5,Grading,266,2025-11-08
176,22,5,Grading,266,2025-11-15
177,22,5,Grading,266,2025-11-22
178,22,5,Grading,266,2025-12-06
179,22,5,Grading,266,2025-12-13
216,29,5,Grading,316,2025-09-27
217,29,5,Grading,316,2025-10-18
218,29,5,Grading,316,2025-11-08
219,29,5,Grading,316,2025-11-15
220,29,5,Grading,316,2025-11-22
221,29,5,Grading,316,2025-12-06
322,2,5,Grading,334,2025-09-27
323,2,5,Grading,334,2025-12-06
324,2,5,Grading,334,2025-12-13
365,8,5,Grading,251,2025-09-20
366,8,5,Grading,251,2025-09-27
367,8,5,Grading,251,2025-11-22
368,8,5,Grading,251,2025-12-13
369,8,5,Grading,251,2026-05-02
370,8,5,Grading,251,2026-05-23
377,8,5,Grading,250,2025-09-20
378,8,5,Grading,250,2025-09-27
379,8,5,Grading,250,2025-11-22
380,8,5,Grading,250,2025-12-13
381,8,5,Grading,250,2026-05-02
382,8,5,Grading,250,2026-05-23
521,57,5,Grading,355,2025-09-27
522,57,5,Grading,355,2025-10-18
523,57,5,Grading,355,2025-11-22
524,57,5,Grading,355,2026-05-02
525,57,5,Grading,355,2026-05-16
645,54,5,Grading,349,2025-10-04
646,54,5,Grading,349,2025-10-11
647,54,5,Grading,349,2025-11-08
676,63,5,Grading,370,2025-09-27
677,63,5,Grading,370,2025-10-11
678,63,5,Grading,370,2025-11-29
694,18,5,Grading,258,2025-09-20
695,18,5,Grading,258,2025-09-27
696,18,5,Grading,258,2025-10-18
697,18,5,Grading,258,2025-11-22
698,18,5,Grading,258,2025-12-13
699,18,5,Grading,258,2026-04-11
877,9,5,B,229,2025-11-29
878,9,5,B,229,2025-12-13
69,31,5,3,336,260
165,11,5,2,294,259
220,26,5,3,328,260
379,27,5,4,322,261
400,26,5,2,327,259
413,35,5,3,281,260
17,14,5,A,383,
18,35,5,A,285,
163,29,5,B,316,
164,8,5,B,250,
165,22,5,A,266,
166,2,5,A,334,
235,10,5,A,306,
236,22,5,A,266,
237,8,5,B,251,
238,9,5,B,229,
239,57,5,B,355,
240,29,5,B,316,
325,18,5,A,258,
326,22,5,A,266,
327,14,5,A,383,
328,63,5,A,370,
329,8,5,B,250,
330,8,5,B,251,
403,22,5,A,266,
404,35,5,A,285,
405,18,5,A,258,
406,2,5,A,334,
407,10,5,A,306,
408,63,5,A,370,
409,54,5,B,349,
410,8,5,B,251,
411,8,5,B,250,
412,57,5,B,355,
475,14,5,A,383,
476,18,5,A,258,
477,63,5,A,370,
478,2,5,A,334,
479,54,5,B,349,
480,8,5,B,250,
481,8,5,B,251,
482,57,5,B,355,
541,10,5,A,306,
542,2,5,A,334,
543,18,5,A,258,
544,63,5,A,370,
605,14,5,A,383,
606,2,5,A,334,
607,35,5,A,285,
608,10,5,A,306,
609,54,5,B,349,
610,9,5,B,229,
675,10,5,A,306,
676,18,5,A,258,
677,22,5,A,266,
678,14,5,A,383,
679,2,5,A,334,
680,35,5,A,285,
681,29,5,B,316,
682,9,5,B,229,
683,57,5,B,355,
684,54,5,B,349,
229,9,5,B,,
250,8,5,B,,
251,8,5,B,,
258,18,5,A,,
266,22,5,A,,
285,35,5,A,,
306,10,5,A,,
316,29,5,B,,
334,2,5,A,,
349,54,5,B,,
355,57,5,B,,
370,63,5,A,,
383,14,5,A,,
