id,participant_id,agegroup_id,divisi_id,team_id,block_date
180,22,6,Grading,267,2025-09-20
181,22,6,Grading,267,2025-11-08
182,22,6,Grading,267,2025-11-15
183,22,6,Grading,267,2025-11-22
184,22,6,Grading,267,2025-12-06
185,22,6,Grading,267,2025-12-13
432,66,6,Grading,374,2025-09-20
433,66,6,Grading,374,2025-09-27
434,66,6,Grading,374,2025-11-29
435,66,6,Grading,374,2025-12-13
436,66,6,Grading,374,2026-05-16
437,66,6,Grading,374,2026-05-23
541,55,6,Grading,350,2025-09-27
542,55,6,Grading,350,2025-10-11
543,55,6,Grading,350,2025-10-18
544,55,6,Grading,350,2025-11-22
545,55,6,Grading,350,2025-11-29
546,55,6,Grading,350,2025-12-06
651,62,6,Grading,368,2025-09-20
652,62,6,Grading,368,2025-10-25
653,62,6,Grading,368,2025-11-01
654,62,6,Grading,368,2025-11-08
679,63,6,Grading,371,2025-09-27
680,63,6,Grading,371,2025-10-11
681,63,6,Grading,371,2025-11-29
117,60,6,3,364,331
264,13,6,3,309,331
375,34,6,3,343,331
29,55,6,-,350,
30,63,6,-,371,
109,62,6,-,368,
110,72,6,-,384,
167,22,6,-,267,
168,55,6,-,350,
169,69,6,-,376,
170,66,6,-,374,
241,62,6,-,368,
242,55,6,-,350,
243,69,6,-,376,
244,22,6,-,267,
245,72,6,-,384,
246,66,6,-,374,
331,62,6,-,368,
332,63,6,-,371,
333,22,6,-,267,
334,72,6,-,384,
413,22,6,-,267,
414,63,6,-,371,
415,69,6,-,376,
416,72,6,-,384,
483,63,6,-,371,
484,69,6,-,376,
487,55,6,-,350,
488,72,6,-,384,
489,63,6,-,371,
490,66,6,-,374,
545,55,6,-,350,
546,66,6,-,374,
611,69,6,-,376,
612,55,6,-,350,
613,66,6,-,374,
614,22,6,-,267,
615,72,6,-,384,
616,63,6,-,371,
267,22,6,-,,
350,55,6,-,,
368,62,6,-,,
371,63,6,-,,
374,66,6,-,,
376,69,6,-,,
380,60,6,-,,
384,72,6,-,,
