id,participant_id,agegroup_id,divisi_id,team_id,block_date
101,68,8,Grading,378,2025-09-20
102,68,8,Grading,378,2025-09-27
103,68,8,Grading,378,2025-10-04
104,68,8,Grading,378,2025-10-11
105,68,8,Grading,378,2025-10-25
106,68,8,Grading,378,2025-11-08
186,22,8,Grading,268,2025-09-20
187,22,8,Grading,268,2025-11-08
188,22,8,Grading,268,2025-11-15
189,22,8,Grading,268,2025-11-22
190,22,8,Grading,268,2025-12-06
191,22,8,Grading,268,2025-12-13
72,13,8,1,307,244
87,30,8,2,238,246
93,29,8,5,316,250
98,30,8,3,239,247
109,60,8,2,363,245
135,11,8,1,292,244
137,5,8,3,260,247
145,9,8,4,228,248
161,35,8,1,273,244
166,59,8,2,359,246
196,8,8,5,250,251
206,56,8,1,352,244
216,54,8,2,347,246
233,54,8,5,349,251
242,60,8,1,362,244
248,57,8,2,354,245
260,9,8,3,227,247
268,60,8,4,365,248
270,54,8,5,349,250
335,71,8,2,382,246
397,2,8,1,332,244
171,22,8,-,268,
172,69,8,-,377,
335,22,8,-,268,
336,68,8,-,378,
549,69,8,-,377,
550,68,8,-,378,
619,68,8,-,378,
620,22,8,-,268,
268,22,8,-,,
377,69,8,-,,
378,68,8,-,,
