id,participant_id,agegroup_id,divisi_id,team_id,block_date
22,8,,Grading,245,
23,8,,Grading,245,
24,8,,Grading,245,
25,8,,Grading,245,
26,8,,Grading,245,
28,8,,B,245,
29,8,,Grading,245,
30,8,,B,245,
31,8,,Grading,245,
32,8,,Grading,245,
33,8,,Grading,245,
35,8,,Grading,245,
36,6,,Grading,331,
37,6,,Grading,331,
38,6,,Grading,331,
39,6,,Grading,331,
40,6,,Grading,331,
41,6,,Grading,331,
42,6,,Grading,331,
43,6,,Grading,331,
44,6,,Grading,331,
45,6,,Grading,331,
46,6,,Grading,331,
47,6,,Grading,331,
48,6,,Grading,331,
49,6,,Grading,331,
50,6,,Grading,331,
51,6,,Grading,331,
72,63,,Grading,369,
74,63,,Grading,369,
75,63,,Grading,369,
76,63,,Grading,369,
77,63,,Grading,369,
79,63,,Grading,369,
80,63,,Grading,369,
81,63,,Grading,369,
82,63,,Grading,369,
83,14,,Grading,325,
84,14,,Grading,325,
85,14,,Grading,325,
86,63,,Grading,370,
87,14,,Grading,325,
88,14,,Grading,325,
89,63,,Grading,369,
90,14,,Grading,325,
91,14,,Grading,325,
92,14,,Grading,325,
93,14,,Grading,325,
94,63,,Grading,369,
95,14,,Grading,325,
96,63,,Grading,369,
98,14,,Grading,325,
99,14,,Grading,325,
100,14,,Grading,325,
101,14,,Grading,325,
102,14,,Grading,325,
103,63,,Grading,369,
104,14,,Grading,325,
105,63,,Grading,369,
108,63,,Grading,369,
109,63,,Grading,369,
110,63,,Grading,369,
111,63,,Grading,369,
112,63,,Grading,369,
113,63,,Grading,369,
114,62,,Grading,368,
115,8,,Grading,247,
116,62,,Grading,368,
117,62,,Grading,368,
118,8,,Grading,247,
119,62,,Grading,368,
120,8,,Grading,247,
122,8,,Grading,247,
123,8,,Grading,247,
124,8,,Grading,247,
125,62,,Grading,368,
126,62,,Grading,368,
127,62,,Grading,368,
128,8,,Grading,247,
129,62,,Grading,368,
130,8,,Grading,247,
131,8,,Grading,247,
132,62,,Grading,368,
133,8,,Grading,247,
134,8,,Grading,247,
135,62,,Grading,368,
136,8,,Grading,247,
137,62,,Grading,368,
138,8,,Grading,247,
144,14,,Grading,325,
145,14,,Grading,325,
146,14,,Grading,325,
147,14,,Grading,325,
148,62,,Grading,368,
149,62,,Grading,368,
150,62,,Grading,368,
151,62,,Grading,368,
152,62,,Grading,368,
153,62,,Grading,368,
154,62,,Grading,368,
155,62,,Grading,368,
156,62,,Grading,368,
157,62,,Grading,368,
160,62,,Grading,368,
162,14,,Grading,325,
164,57,,Grading,355,
166,57,,Grading,355,
167,57,,Grading,355,
168,57,,Grading,355,
169,57,,Grading,355,
170,57,,Grading,355,
171,57,,Grading,355,
172,57,,Grading,355,
173,57,,Grading,355,
176,57,,Grading,355,
177,57,,Grading,355,
178,57,,Grading,355,
179,57,,Grading,355,
